comparaison,var1,var2,overlap
toutes classes,gene_16680,gene_11393,16.71614423729327
BRCA vs COAD,gene_4963,gene_6660,7.755389574672122
BRCA vs KIRC,gene_11393,gene_16088,1.6028358903820747
BRCA vs LUAD,gene_8292,gene_11393,10.639485944643543
BRCA vs PRAD,gene_13658,gene_753,2.06742208479035
COAD vs KIRC,gene_11393,gene_9067,0.8275738784603418
COAD vs LUAD,gene_12722,gene_11393,2.0114848624595134
COAD vs PRAD,gene_15688,gene_18216,0.931909475683292
KIRC vs LUAD,gene_14110,gene_18216,11.194956304474847
KIRC vs PRAD,gene_18216,gene_13159,1.1518866190942945
LUAD vs PRAD,gene_15688,gene_13658,1.570004933914219
