comparaison,var1,var2,overlap
toutes classes,tSNE1,tSNE2,2.6029083248604477
BRCA vs COAD,tSNE1,tSNE2,3.6373845475677586
BRCA vs KIRC,tSNE1,tSNE2,4.550648836186891
BRCA vs LUAD,tSNE1,tSNE2,2.896913575990174
BRCA vs PRAD,tSNE1,tSNE2,1.473942608655577
COAD vs KIRC,tSNE1,tSNE2,0.32656169022405557
COAD vs LUAD,tSNE1,tSNE2,2.407919968117236
COAD vs PRAD,tSNE1,tSNE2,0.27675727533057864
KIRC vs LUAD,tSNE1,tSNE2,0.6630462252810384
KIRC vs PRAD,tSNE1,tSNE2,1.7690980878102738
LUAD vs PRAD,tSNE1,tSNE2,1.3064557931600707
